movie_id,review
38,명작 말이 필요없음 특히 음악은 역사에 남을만한 수작이라고 생각되네요
38,좋네요 굿좋습니다 감사합니딘
38,우주로 날아가는 장면에서 내 영혼도 영화관밖으로 날아가버렸다
38,재미있게 잘 봤습니다 따뜻해지네요
38,라이언고슬링 엠마왓슨의 연기력이 돋보였고 음악 댄스도 훌륭한 오래도록 기억에 남을 뮤지컬 영화임
38,두번봐도 괜찮을 영화입니다
38,호불호 나뉜다던데 저랑은 안 맞던 영화입니다
38,재밌어서 두번이나 봤는데 또보고 싶네요
38,너무 재밌는 인생영화에요
38,위플래시 가 예술의 광기에 대한 영화였다면 라라랜드 는 예술의 열정에 대한 영화였다
38,엔딩이 다 했다 별들의 도시
38,말이필요없는 라라랜드 명성그대로
38,소나기처럼 가슴따듯해진다
38,아름다운 영화입니다
38,영화가 주는 아름다움과 환상때문에 조건없이 행복해지는 그런 순간
38,재즈를 모른다면 이 영화를 이해할 수도 그리고 재미없게 느낄 수 있다 하지만 재즈를 접해보고 들어본 사람이라면 이 영화에서의 재즈가 주는 비중을 온 몸으로 체감할 수 있을 것이다
38,좀 뻔한 스토리 기대보단 못했지만 나쁘지 않음
38,영상미 음악 자체만 으로도 별 5개 물론 스토리도 좋지만
38,영알못이라 지루했네요 노래듣는재미
38,기대를 품고 이 영화를 본 내가 영화를 끝나고 기대가 없어진채 허탈함 기분만이 들었다 처음부터 너무나도 해피스러운게 마음에 걸렸는데 너무 일찍 모든게 올라가 버렸다
38,약간 지루한 감은 있었다 그보다 결말 너무 슬픈거아닌가요
38,즐기고 빠져들었습니다
38,노래가 다 좋네요 내용은 그저그럼
38,마지막 피아노 씬은 잊지못해요눈빛으로만 연기하는데 와 멋져요
38,음악도 좋고 스토리도 좋았고 볼거리가 많은 영화
38,좋아용 은악이너뮤신선하고
38,영화로 표현할 수 있는 모든걸 총 동원해서 보여준 작품 우선 헐리웃 배우들의 탤런트는 혀을 내두를수 밖에 없다
38,홀라랄래 너이랠랄라
38,제스탈은 아녓음 연기는 볼만한듯
38,아이스크림처럼 달달하면서도 에스프레소같은 깊이와 여운까지 있는 2016의 영화로 꼽혔다던데 그만한 이유가 있구나
38,남자두명이서보러가서 그런지 몰라도 극혐이었음
38,뮤지컬 무비의 장점을 잘 살린 작품
38,그냥 스크린에만 집중하게된
38,재밋어요 정말 재밋
38,음악이 좋은 영화이다
38,영화 중간에 옆에서 보던 젊은 여자가 울더라 취업은 힘들어
38,와 정말 감정이입 제대로 하고 왔습니다 슬픔 기쁨 설렘 모든 감정이 다 고스란히 느껴지는특히 마지막 피아노 죽입니다
38,인생최고의영화
38,마지막 10분 우리가 그날 이랬더라면 그래도 너가 행복해져서 다행이야 잘 성공해주었구나
38,전 그냥 그랬어요 문화인이 아닌건지 좀 지루 했습니다
38,볼만한 뮤지컬영화인것같아요
38,연기는 그럭저럭 괜찮은데 배우 노래 실력 별로고 지루하기 이를 데 없음 기대 없이 봐도 재미없는 영화
38,나의 인생영화 매일 ost 들으면서 햄보캐요
38,현실적인 스토리 낭만적인 음악
38,노래진짜 좋은데 마지막 완전 반전
38,정말 재밌어요 다시 또 보고싶은 영화예요
38,아름답고 흥겨운 뮤지컬 영화인 줄 알았는데 애잔하네요
38,좋은 음악 훌륭한 영상 적절한 스토리 재미있게 봤습니다
38,다시 보고 싶어 영화관에 다시 가고 싶다 라고 느낀 최초 영화 뭐가 정확히 훌륭한 영화다 라고 말은 못하겠는데 마음을 정말 훌륭하게 적시는 영화
38,한번보고 두번보아도 음악과 화면의 아름다움이 머릿속에 맴도는 영화 아카데미 후보 축하드려요 라라랜드
38,인간의 감정 표현을 이토록 아름답도록 만들어준 라라랜드 너무 좋았어요
38,스토리부터시작해서 전부 개판인데 음악빨로 가는 영화를 재미없다했다고 인생을즐기지못하느니 성격에 문제있니없니 크으 하긴 대가리에 든게없으니 이딴영화빨아대는거지
38,그냥 봐라 뮤지컬 영화라는 편견은 버리고 그 안에 짧은 우리의 청춘이 있고 꿈이 있고 현실이 있으니
38,화면이 예뻐요 노래도 좋음
38,goodgoodgood
38,예원이는 보다가 잤데요
38,다시 또 보고 싶어요 행복해 지는 영화입니다
38,난 잘 모르겠다
38,그냥 그저그런영화 무슨 자기가 재밌다고 남한테 넌 재밌을거야 라고 강요하는 놈들이 왜케 많냐 취향이라는게 있는데 지한테만 기준을 맞추면 어쩌란느거냐
38,2016 최고의 영화 마지막 라이언고슬링 피아노 연주씬에서 표정이 잊혀지질 않는다
38,영상감도 이쁘고 발랄한 정화영화
38,색감이 예쁜영화 시퀀스 구성이 좋았다
38,정말 그냥 하이스쿨 뮤지컬을 보는게 나을듯 하다
38,이 영화를 즐기지 못하는 사람은 자신의 인생을 다시 한번 생각해 봐야 한다 라고 어떤 외국 비평가가 평했더라고 맞어 영화 재미없었다면 여태껏 살아온 삶이 뭔가 크게 잘못되었을 가능성이 높아 살아온 환경 때문에 뇌구조가 정상이 아닐거라는 거지
38,인생영화 최고의 영화
38,해피엔딩 뻔한 결말을 좋아하는 청자로서는 마지막의 반전이 가슴아팠다 둘 다 꿈을 이루었기에 해피엔딩이라 할 수도 있겠지만 결혼은 현실적임을 보여주기도 하였다
38,2번째봅니다 여자친구랑 보시는걸 추천해요
