movie_id,genre_id
236,1
236,6
236,12
237,3
237,16
237,15
238,12
238,6
239,12
239,15
240,15
240,11
240,12
241,0
241,3
241,12
242,1
242,15
242,0
243,15
243,0
243,1
244,5
244,12
245,0
245,1
245,16
246,12
246,6
247,1
247,10
247,14
248,0
248,15
248,12
249,0
249,16
249,15
250,16
250,0
251,10
251,0
251,1
252,12
253,1
253,0
253,11
254,16
254,4
254,15
255,6
255,12
256,12
256,1
256,6
257,12
258,16
258,15
258,0
259,15
259,12
259,4
260,1
260,16
260,12
261,3
261,10
261,0
262,10
262,14
262,1
263,0
263,16
263,3
264,0
264,15
264,12
265,0
265,12
265,16
266,1
266,14
266,10
267,12
268,0
268,4
268,15
269,6
269,12
269,11
270,1
270,10
270,12
271,0
271,12
272,0
272,15
272,16
273,3
273,1
274,0
274,1
274,16
275,15
275,12
275,11
276,12
276,1
277,12
277,15
277,6
278,15
278,4
278,1
279,12
279,11
280,3
280,15
280,4
281,15
281,12
281,11
282,0
282,12
282,8
283,12
283,11
283,16
284,11
284,15
284,0
285,12
285,17
286,15
286,13
286,12
287,0
287,13
287,12
288,12
288,6
288,14
289,1
289,6
289,12
290,3
290,14
290,1
291,11
291,0
291,15
292,5
292,4
292,15
293,4
293,15
293,12
294,3
294,16
294,0
295,15
295,0
296,15
296,16
296,12
297,11
297,15
297,12
298,12
298,1
298,14
299,12
299,5
299,6
300,1
300,4
301,12
302,11
302,8
302,0
303,2
304,16
304,15
304,4
305,6
305,12
306,12
307,0
307,16
307,10
308,12
309,16
309,4
309,15
310,12
311,12
311,11
311,15
312,3
312,16
312,6
313,12
313,7
313,6
314,15
314,0
315,2
315,12
315,15
316,1
316,6
316,14
317,6
317,1
318,15
318,11
318,0
319,4
319,15
319,1
320,6
320,1
321,5
321,1
321,2
322,3
322,0
322,11
323,1
324,4
324,15
324,1
325,15
325,4
325,11
326,16
326,12
326,4
327,15
327,12
327,11
328,11
328,15
328,4
329,16
329,15
329,12
330,16
330,0
330,15
331,16
331,0
332,1
332,11
332,0
333,11
333,12
334,3
334,10
334,0
335,1
335,3
335,14
336,15
336,0
337,4
337,12
338,4
339,16
339,12
339,6
340,12
340,11
340,6
341,1
341,6
341,12
342,15
342,11
342,0
343,15
343,12
343,4
344,6
344,12
345,6
345,1
346,15
346,12
346,16
347,3
347,15
347,16
348,6
348,12
348,1
349,15
349,12
349,11
350,0
350,17
350,3
351,1
351,12
352,13
352,12
353,13
353,12
353,0
354,0
354,16
355,12
355,1
356,15
356,11
356,0
357,12
357,11
358,4
358,15
358,12
359,15
359,0
359,11
360,15
360,12
360,16
361,4
362,11
362,12
363,8
363,12
363,6
364,0
364,16
364,12
365,4
365,12
365,15
366,0
366,16
367,7
367,12
368,15
368,4
369,12
369,14
370,1
370,6
370,12
371,16
371,12
372,12
372,15
372,13
373,15
373,12
373,4
374,3
374,0
374,16
375,1
375,0
375,11
376,1
377,15
377,12
378,3
378,10
378,6
379,3
379,12
379,11
380,15
380,4
380,12
381,13
381,6
381,12
382,0
382,15
382,4
383,6
383,1
384,3
384,15
384,4
385,12
385,0
385,10
386,17
386,13
386,12
387,12
387,3
387,14
388,0
388,16
389,12
389,0
389,15
390,12
391,1
391,3
391,14
392,12
392,6
393,15
393,12
393,11
394,0
394,16
394,15
395,12
395,0
396,0
396,15
396,4
397,12
398,3
398,1
398,14
399,1
399,12
400,0
400,10
400,1
401,15
401,12
401,0
402,1
403,16
403,0
404,14
404,11
404,1
405,14
405,1
405,12
406,5
406,12
407,15
407,4
407,1
408,3
408,10
408,6
409,11
409,12
409,15
410,0
410,8
410,12
411,12
411,1
411,6
412,12
412,6
412,1
413,3
413,12
413,1
414,1
414,12
414,6
415,15
415,12
415,0
416,0
416,17
416,12
417,15
417,0
417,6
418,13
418,0
418,17
419,1
419,10
419,3
420,13
420,12
