,id,title,type,original_title,idx
159,1857,신세계로부터,TV_Show,,
160,1858,그냥 사랑하는 사이,TV_Show,,
161,1860,오징어 게임,TV_Show,,
162,1865,이누야샤,TV_Show,犬夜叉,
163,1866,카우보이 비밥,TV_Show,Cowboy Bebop,
164,1867,릭 앤 모티,TV_Show,Rick and Morty,
165,1868,굿 닥터,TV_Show,,
166,1870,사우스 파크,TV_Show,"South Park: Bigger, Longer & Uncut",
167,1873,워킹 데드,TV_Show,The Walking Dead,
168,1874,로스트 인 스페이스,TV_Show,Lost in Space,
169,1878,"에밀리, 파리에 가다",TV_Show,Emily in Paris,
170,1880,나의 아저씨,TV_Show,,
171,1882,진격의 거인,TV_Show,進撃の巨人,
172,1893,나는 SOLO,TV_Show,,
173,1896,네모바지 스폰지밥,TV_Show,SpongeBob SquarePants,
174,1898,멜로가 체질,TV_Show,,
175,1904,타인은 지옥이다,TV_Show,,
176,1905,가십걸,TV_Show,Gossip Girl,
177,1915,호텔 델루나,TV_Show,Hotel Del Luna,
178,1916,지정생존자,TV_Show,Designated Survivor,
179,1919,돌싱글즈,TV_Show,,
180,1920,아는 형님,TV_Show,,
181,1936,보이스,TV_Show,,
182,1937,도깨비,TV_Show,쓸쓸하고 찬란하神-도깨비,
183,1941,미스터 션샤인,TV_Show,,
184,1942,맛있는 녀석들,TV_Show,,
185,1955,나쁜 녀석들: 악의 도시,TV_Show,,
186,1956,위 베어 베어스: 곰 브라더스,TV_Show,We Bare Bears,
187,1959,갓 오브 하이스쿨,TV_Show,,
188,1962,설국열차,TV_Show,Snowpiercer,
189,1965,개미는 오늘도 뚠뚠,TV_Show,,
190,1968,퀸스 갬빗,TV_Show,The Queen's Gambit,
191,1969,헬'S 키친,TV_Show,Hell's Kitchen,
192,1974,비밀의 숲,TV_Show,,
193,1977,시그널,TV_Show,,
194,1981,"나만 믿고 따라와, 도시어부",TV_Show,,
195,1985,원펀맨,TV_Show,ワンパンマン,
196,1988,이태원 클라쓰,TV_Show,,
197,2003,킹덤,TV_Show,,
198,2012,D.P.,TV_Show,,
